Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
A0A0E0LJB8,29,24,49
K4BMX7,30,20,49
UniRef100_A0A2M3Z877,29,22,49
UniRef100_B3XVX5,29,25,49
GraSoiStandDraft_51_1057287.scaffolds.fasta_scaffold773315_2,30,25,49
UniRef100_A0A914AK67,30,21,49
UniRef100_A0A8X7XJ67,30,22,49
ERR1719232_512815,29,21,49
UniRef100_A0A914HYJ7,29,22,49
UniRef100_UPI0021C8973C,29,20,49
UniRef100_A0A8J9YP85,29,18,49
A0A061R9A4,29,24,49
UPI00043A387C,29,19,49
UniRef100_A0A0A1U2T7,30,22,49
ERR1719450_598590,30,20,49
UniRef100_A0A8J2K827,30,22,49
UniRef100_A0A7M7PRJ6,29,21,49
UniRef100_A0A8W8LFJ7,30,23,49
UniRef100_A0A7R9BN37,30,23,49
UniRef100_UPI001FBAE303,29,24,49
UniRef100_UPI001403D212,30,21,49
OpeIllAssembly_1097287.scaffolds.fasta_scaffold2731649_1,30,25,49
UniRef100_UPI001E1D4E2D,30,23,49
A0A0Q3URX5,30,23,49
ERR1719312_178985,30,21,49
UniRef100_A0A8T3DDS9,30,24,49
UniRef100_UPI00106B40F7,29,29,49
UniRef100_A0A914KMI5,29,27,49
UniRef100_A0A7R8H9V2,29,22,49
Q7YZX2,29,19,49
MGYP001119811900,30,22,49
ERR1719322_661822,30,25,49
A0A1I8N9S0,29,21,49
UniRef100_A0A7K9K1N7,29,22,49
E4X3I5,29,25,49
A0A1A8D662,29,26,49
T1IJ71,29,25,49
A0A2A2KJJ3,30,24,49
UniRef100_A0A6B2EH69,29,25,49
UniRef100_A0A1Y2ABT8,29,21,49
6534|scaffold208764_1|+14|00,30,23,49
ETN01SMinimDraft_1059929.scaffolds.fasta_scaffold322132_1,29,23,49
A0A1D1W0Q8,29,20,49
ERR1711970_887913,30,27,49
UniRef100_A0A369S741,29,25,49
ERR1712159_648055,29,20,49
UniRef100_UPI001B7E2B8D,29,26,49
GraSoiStandDraft_9_1057307.scaffolds.fasta_scaffold23591_3,30,23,49
UniRef100_I0YIZ7,30,23,49
GraSoiStandDraft_30_1057271.scaffolds.fasta_scaffold3641500_1,29,24,49
UniRef100_A0A2I1GPP3,29,25,49
UniRef100_UPI0003C8FCBE,29,20,49
UniRef100_A0A077ZAT5,30,21,49
A0A293LS21,30,23,49
UniRef100_A0A8R1U1I0,29,22,49
SRR3989338_8364201,30,23,49
UniRef100_A0A2B4RFB7,29,24,49
HubBroStandDraft_4_1064222.scaffolds.fasta_scaffold2057750_1,30,21,49
A0A1B6IHA6,29,24,49
UniRef100_A0A915PJ03,29,25,49
MGYP001349784691,29,24,49
MGYP001140941248,29,27,49
H2YTK3_3566721|ERR1726544_k119_1767245|-|1626|0|11|934|6509|6509[6509]:6297[6297]:213[213]|6249[6255]:6118[6118]:132[126]|5420[5423]:5082[5082]:339[336]|5046[5070]:4948[4948]:99[75]|4894[4897]:4664[4664]:231[228]|3972[3972]:3289[3289]:684[684]|3049[3052]:2801[2801]:249[246]|1872[1872]:1510[1510]:363[363]|1443[1443]:1276[1276]:168[168]|1246[1261]:1061[1061]:186[171]|1011[1014]:934[934]:78[75],29,24,49
UniRef100_UPI0021C5D4FC,29,22,49
UniRef100_A0A1S3IR44,29,23,49
UniRef100_UPI00187DB03B,29,24,49
UniRef100_A0A2G8LJE1,29,21,49
UniRef100_A0A6P4EVG0,29,23,49
UniRef100_UPI001AE3AC5F,29,22,49
Laugresubdmm15sn_1035100.scaffolds.fasta_scaffold466411_1,29,21,49
UniRef100_A0A0R3T2R0,30,20,49
UniRef100_A0A261CBA4,29,21,49
AP92_2_1055481.scaffolds.fasta_scaffold1367415_1,29,22,49
UniRef100_A9V127,30,23,49
MGYP001132696834,29,21,49
MGYP001061971451,29,23,49
UniRef100_O61731,29,24,49
UniRef100_E4YJ90,30,23,49
UniRef100_UPI00193D48E9,30,22,49
UniRef100_A0A2C9M3E8,29,23,49
UniRef100_UPI000D1C43DD,29,16,49
UniRef100_UPI001F0389F9,30,26,49
UniRef100_A0A6P4YDR8,29,22,49
UniRef100_UPI001142D803,29,20,49
HigsolmetaGSP13D_1036239.scaffolds.fasta_scaffold01645_4,29,24,49
UniRef100_A0A8B8Z4D9,30,23,49
UniRef100_A0A182QIL6,29,21,49
UniRef100_A0A1X7VKG0,30,23,49
UniRef100_UPI001EDCA65A,29,24,49
LauGreSuBDMM15SN_2_FD.fasta_scaffold3682930_1,29,25,49
UniRef100_A2DRQ2,30,21,49
L8GUK1,30,27,49
UniRef100_T1I9G2,29,21,49
UniRef100_A0A4W3HR86,29,17,49
7038|scaffold244869_1|+1|11,29,22,49
ERR1719357_299643,29,21,49
UniRef100_UPI00214E5996,30,25,49
GraSoiStandDraft_11_1057310.scaffolds.fasta_scaffold3759079_1,29,23,49
UniRef100_F6KBQ3,30,27,49
UniRef100_F2UH35,29,20,49
A0A0V1M777,30,20,49
UniRef100_A0A8S3UTZ5,29,17,49
UniRef100_UPI00096B2FB7,30,20,49
UniRef100_T1EHZ9,29,32,49
MGYP000367635870,30,23,49
UniRef100_F1KS83,30,29,49
UniRef100_A0A812D433,29,22,49
UniRef100_A0A812D2A1,29,21,49
UniRef100_A0A8T2JPQ5,29,19,49
UniRef100_A0A913YUI5,29,23,49
MGYP001154363424,30,22,49
UniRef100_A0A7R9H5M2,30,19,49
MGYP001135987902,30,31,49
UniRef100_G0NAH3,29,17,49
A0A0G4EFQ9,29,20,49
UniRef100_UPI001C4922D1,30,25,49
F6RMF5,30,19,49
UniRef100_A0A6B2LII2,29,19,49
UniRef100_A0A260ZI73,30,22,49
UniRef100_UPI0009E63B3D,29,21,49
MGYP001064776523,29,26,49
UniRef100_A0A834Q2H1,29,29,49
A0A1Y1KGZ8,29,19,49
UniRef100_A0A2G8L062,29,25,49
UniRef100_A0A0M9FU81,29,23,49
UniRef100_A0A3R7A9K0,29,22,49
UniRef100_A0A7M5WZ93,29,23,49
UniRef100_A0A293LQ53,29,16,49
UniRef100_UPI00077A20B7,29,29,49
UniRef100_A0A8B6F1P2,30,20,49
A0A2C9KLD8,30,25,49
ERR1719209_557724,29,22,49
UniRef100_A0A6F9DDN6,30,27,49
UniRef100_UPI00065BD13F,30,21,49
UniRef100_UPI002180460E,30,29,49
UniRef100_UPI001F5FBCD0,29,26,49
ERR1712168_1149919,30,19,49
UniRef100_A0A8J2NQE4,30,20,49
A9SUI7,29,21,49
UniRef100_UPI0009B40164,29,22,49
UniRef100_A0A8B7XSH9,30,26,49
UniRef100_A0A915KE26,30,22,49
UniRef100_A0A383VNS6,30,26,49
A0A210R1C2,29,17,49
UniRef100_A0A8H3XIM8,30,20,49
UniRef100_A0A369SDP0,29,21,49
UniRef100_A0A132A2Q7,29,23,49
MGYP001350944716,30,23,49
UniRef100_A0A814P310,30,29,49
UniRef100_A0A368GK31,30,20,49
ERR1712232_1491284,29,22,49
ERR1719410_2116556,29,23,49
UniRef100_UPI001EEB6E80,29,23,49
UniRef100_T1G9G0,30,24,49
UniRef100_A0A182SVI8,29,20,49
GraSoiStandDraft_15_1057317.scaffolds.fasta_scaffold8028173_1,29,24,49
UniRef100_A0A6M2DVP2,29,22,49
UniRef100_A0A0N5AH25,30,21,49
UniRef100_F2UIT2,29,20,49
UniRef100_A2FJX1,29,23,49
MGYP001380700669,30,23,49
A0A1A8RXH7,29,22,49
21874|Ga0214473_10918620_1|-1|11,30,20,49
UniRef100_A0A7D9M828,29,28,49
ERR1719319_84575,30,25,49
UniRef100_A0A933K9N8,30,25,49
A0A0P5VPH6,29,18,49
UniRef100_A0A8B6GJQ8,29,25,49
UniRef100_A0A6P9B7V6,29,21,49
UniRef100_A0A8B7Z388,29,24,49
ERR1719203_2378534,30,31,49
UniRef100_A0A915ESN7,29,19,49
UniRef100_A0A0G4G5G4,29,22,49
UniRef100_A0A0K0EI71,29,25,49
9298|Ga0210265_1043615_1|-61|01,29,23,49
UniRef100_UPI0010F7055D,29,27,49
MGYP001130619258,30,26,49
UniRef100_A0A250WW14,30,20,49
UniRef100_A0A2B4RAZ1,29,30,49
UniRef100_A0A0C9UNJ7,30,21,49
A0A0M3I8X1,30,21,49
SRR5699024_1963440,30,20,49
UniRef100_A0A979FNC7,29,19,49
UniRef100_A0A8J2LFY4,29,26,49
ERR1719494_183778,29,25,49
SaaInl85LU_5_DNA_1037374.scaffolds.fasta_scaffold353743_1,29,25,49
23957|scaffold_10965_c1_9|-6239|00,29,22,49
UniRef100_A0A226D344,30,19,49
GraSoiStandDraft_17_1057272.scaffolds.fasta_scaffold111185_1,29,28,49
A7SYB5,29,25,49
UniRef100_A0A8S3PSM4,30,20,49
UniRef100_F2UB12,30,25,49
UniRef100_G0P6D4,29,21,49
MGYP001305553460,29,28,49
A0A0L0DNY5,29,26,49
ERR1712146_279728,29,31,49
SRR6266487_2401494,29,22,49
UniRef100_UPI00096ADC0E,30,21,49
UniRef100_A0A1D2MQQ4,29,22,49
UniRef100_A0A1X7TG93,29,19,49
UniRef100_A0A250X081,29,26,49
UniRef100_UPI0019650159,30,26,49
UniRef100_UPI0007BAA420,29,35,49
UniRef100_UPI0004F0DE6E,29,21,49
A0A212F626,30,24,49
UniRef100_UPI000811A58A,29,26,49
UniRef100_A0A7S4NN78,30,22,49
UniRef100_A0A913YYM1,30,18,49
UniRef100_A0A4W6G0V9,29,26,49
UniRef100_UPI000F65F5EA,29,21,49
D5SPU3,29,23,49
ERR1712051_707702,29,25,49
UniRef100_UPI001F047E66,29,24,49
UniRef100_A0A0R0IW52,29,23,49
UniRef100_A0A8S1HHQ0,29,20,49
A0A1B6HCR4,29,22,49
ERR1719318_320205,29,20,49
Q6PA47,30,21,49
UniRef100_UPI0007350589,29,23,49
ERR1711871_1001756,29,20,49
UniRef100_A0A8E0SA99,29,27,49
UniRef100_A0A7M7KT21,30,21,49
UniRef100_UPI001CF93F90,29,35,49
UniRef100_A0A2P6NR38,29,20,49
ERR1719239_383759,30,22,49
UniRef100_A0A0K1YY28,30,20,49
UniRef100_A0A7M5XIY6,29,18,49
V5I995,30,28,49
A0A2B4RFB7,29,22,49
WorMetDrversion2_1049313.scaffolds.fasta_scaffold1045538_1,29,23,49
