PDB,plddt,seq_count,1cdl_tmscore,1cll_tmscore
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_05/group_012_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,65.59409395973154,13,0.45298,0.48118
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_05/group_009_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,72.62261744966442,13,0.64631,0.441
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_05/group_005_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,71.84006711409396,13,0.48366,0.52833
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_05/group_014_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,69.22617449664429,13,0.61183,0.4948
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_05/group_008_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,69.41644295302012,13,0.60998,0.44039
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_05/group_013_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,71.93912751677853,13,0.49775,0.51829
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_05/group_011_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,63.45959731543624,13,0.42808,0.48562
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_05/group_007_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,68.87315436241612,13,0.46574,0.69086
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_05/group_016_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,71.89469798657717,21,0.45208,0.68653
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_05/group_001_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,72.09442953020134,13,0.45794,0.7189
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_05/group_010_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,69.07959731543625,13,0.68922,0.49709
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_05/group_004_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,71.98442953020134,13,0.45688,0.52058
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_01/group_003_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,72.48966442953021,13,0.40103,0.52641
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_01/group_002_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.49979865771812,13,0.47899,0.4022
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_01/group_006_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.66302013422819,13,0.3981,0.52656
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_01/group_015_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.22704697986576,13,0.41038,0.51471
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_01/group_012_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.98302013422818,13,0.40764,0.55453
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_01/group_009_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.22671140939596,13,0.48301,0.43811
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_01/group_005_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,71.21557046979866,13,0.40293,0.42078
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_01/group_014_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,72.64610738255034,13,0.38473,0.56228
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_01/group_008_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.20093959731543,13,0.36814,0.51474
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_01/group_013_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.90738255033557,13,0.36338,0.48019
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_01/group_011_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.38093959731543,13,0.45831,0.42106
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_01/group_007_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.80845637583893,13,0.49127,0.40652
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_01/group_016_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,75.60295302013424,21,0.39421,0.55317
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_01/group_001_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.30060402684565,13,0.4066,0.51914
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_01/group_010_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,76.46966442953021,13,0.38844,0.53092
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_01/group_004_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,75.41073825503356,13,0.34564,0.54043
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_02/group_003_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.97120805369127,13,0.34702,0.51345
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_02/group_002_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.2296644295302,13,0.39474,0.53804
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_02/group_006_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.40020134228189,13,0.47968,0.39716
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_02/group_015_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.65630872483221,13,0.44555,0.40673
