PDB,plddt,inactive_rmsd_global,active_rmsd_global,seq_count,round
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_53_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,66.84367088607596,3.9668448,2.9389234,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_88_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,72.53924050632911,4.425858,1.925577,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_33_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,75.94886075949368,4.302171,2.3983831,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_52_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,71.98544303797469,4.287468,2.4186666,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_72_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,77.83,3.9053333,3.0565174,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_27_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.30949367088607,3.7183516,2.8113592,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_106_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,70.86529113924051,3.4683228,3.0717108,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_42_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.26843037974683,4.44946,3.290272,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_107_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,73.85445569620254,3.8434947,3.4479108,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_10_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,75.31210126582278,4.626416,2.1774735,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_37_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,80.17220253164557,4.5787992,1.9485115,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_29_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.9892911392405,4.202199,2.3948832,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_18_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,74.78868354430381,3.4758577,3.6435957,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_43_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,69.538,4.54615,2.2686963,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_25_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.17959493670887,3.5187356,3.4733045,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_64_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,73.83010126582279,3.7531395,3.5980272,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_3_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,74.69749367088608,3.4731011,4.4102445,17,1
